time,ntot
0.0000000,0.0000000
0.0116327,0.0000000
0.0232653,0.0000000
0.0348980,0.0000000
0.0465306,0.0000000
0.0581633,0.0000000
0.0697959,0.0000000
0.0814286,0.0000000
0.0930612,0.0000000
0.1046939,0.0000000
0.1163265,0.0000000
0.1279592,0.0000000
0.1395918,0.0000000
0.1512245,0.0000000
0.1628571,0.0000000
0.1744898,0.0000000
0.1861224,0.0000000
0.1977551,0.0000000
0.2093878,0.0000000
0.2210204,0.0000000
0.2326531,0.0000000
0.2442857,0.0000000
0.2559184,0.0000000
0.2675510,0.0000000
0.2791837,0.0000000
0.2908163,0.0000000
0.3024490,0.0000000
0.3140816,0.0000000
0.3257143,0.0000000
0.3373469,0.0000000
0.3489796,0.0000000
0.3606122,0.0000000
0.3722449,0.0000000
0.3838776,0.0000000
0.3955102,0.0000000
0.4071429,0.0000000
0.4187755,0.0000000
0.4304082,0.0000000
0.4420408,0.0000000
0.4536735,0.0000000
0.4653061,0.0000000
0.4769388,0.0000000
0.4885714,0.0000000
0.5002041,0.0000000
0.5118367,0.0000000
0.5234694,0.0000000
0.5351020,0.0000000
0.5467347,0.0000000
0.5583673,0.0000000
0.5700000,0.0000000
0.5816327,0.0000000
0.5932653,0.0000000
0.6048980,0.0000000
0.6165306,0.0000000
0.6281633,0.0000000
0.6397959,0.0000000
0.6514286,0.0000000
0.6630612,0.0000000
0.6746939,0.0000000
0.6863265,0.0000000
0.6979592,0.0000000
0.7095918,0.0000000
0.7212245,0.0000000
0.7328571,0.0000000
0.7444898,0.0000000
0.7561224,0.0000000
0.7677551,0.0000000
0.7793878,0.0000000
0.7910204,0.0000000
0.8026531,0.0000000
0.8142857,0.0000000
0.8259184,0.0000000
0.8375510,0.0000000
0.8491837,0.0000000
0.8608163,0.0000000
0.8724490,0.0000000
0.8840816,0.0000000
0.8957143,0.0000000
0.9073469,0.0000000
0.9189796,0.0000000
0.9306122,0.0000000
0.9422449,0.0000000
0.9538776,0.0000000
0.9655102,0.0000000
0.9771429,0.0000000
0.9887755,0.0000000
1.0004082,0.0000000
1.0120408,0.0000000
1.0236735,0.0000000
1.0353061,0.0000000
1.0469388,0.0000000
1.0585714,0.0000000
1.0702041,0.0000000
1.0818367,0.0000000
1.0934694,0.0000000
1.1051020,0.0000000
1.1167347,0.0000000
1.1283673,0.0000000
1.1400000,0.0000000
1.1516327,0.0000000
1.1632653,0.0000000
1.1748980,0.0000000
1.1865306,0.0000000
1.1981633,0.0000000
1.2097959,0.0000000
1.2214286,0.0000000
1.2330612,0.0000000
1.2446939,0.0000000
1.2563265,0.0000000
1.2679592,0.0000000
1.2795918,0.0000000
1.2912245,0.0000000
1.3028571,0.0000000
1.3144898,0.0000000
1.3261224,0.0000000
1.3377551,0.0000000
1.3493878,0.0000000
1.3610204,0.0000000
1.3726531,0.0000000
1.3842857,0.0000000
1.3959184,0.0000000
1.4075510,0.0000000
1.4191837,0.0000000
1.4308163,0.0000000
1.4424490,0.0000000
1.4540816,0.0000000
1.4657143,0.0000000
1.4773469,0.0000000
1.4889796,0.0000000
1.5006122,0.0000000
1.5122449,0.0000000
1.5238776,0.0000000
1.5355102,0.0000000
1.5471429,0.0000000
1.5587755,0.0000000
1.5704082,0.0000000
1.5820408,0.0000000
1.5936735,0.0000000
1.6053061,0.0000000
1.6169388,0.0000000
1.6285714,0.0000000
1.6402041,0.0000000
1.6518367,0.0000000
1.6634694,0.0000000
1.6751020,0.0000000
1.6867347,0.0000000
1.6983673,0.0000000
1.7100000,0.0000000
1.7216327,0.0000000
1.7332653,0.0000000
1.7448980,0.0000000
1.7565306,0.0000000
1.7681633,0.0000000
1.7797959,0.0000000
1.7914286,0.0000000
1.8030612,0.0000000
1.8146939,0.0000000
1.8263265,0.0000000
1.8379592,0.0000000
1.8495918,0.0000000
1.8612245,0.0000000
1.8728571,0.0000000
1.8844898,0.0000000
1.8961224,0.0000000
1.9077551,0.0000000
1.9193878,0.0000000
1.9310204,0.0000000
1.9426531,0.0000000
1.9542857,0.0000000
1.9659184,0.0000000
1.9775510,0.0000000
1.9891837,0.0000000
2.0008163,0.0000000
2.0124490,0.0000000
2.0240816,0.0000000
2.0357143,0.0000000
2.0473469,0.0000000
2.0589796,0.0000000
2.0706122,0.0000000
2.0822449,0.0000000
2.0938776,0.0000000
2.1055102,0.0000000
2.1171429,0.0000000
2.1287755,0.0000000
2.1404082,0.0000000
2.1520408,0.0000000
2.1636735,0.0000000
2.1753061,0.0000000
2.1869388,0.0000000
2.1985714,0.0000000
2.2102041,0.0000000
2.2218367,0.0000000
2.2334694,0.0000000
2.2451020,0.0000000
2.2567347,0.0000000
2.2683673,0.0000000
2.2800000,0.0000000
2.2916327,0.0000000
2.3032653,0.0000000
2.3148980,0.0000000
2.3265306,0.0000000
2.3381633,0.0000000
2.3497959,0.0000000
2.3614286,0.0000000
2.3730612,0.0000000
2.3846939,0.0000000
2.3963265,0.0000000
2.4079592,0.0000000
2.4195918,0.0000000
2.4312245,0.0000000
2.4428571,0.0000000
2.4544898,0.0000000
2.4661224,0.0000000
2.4777551,0.0000000
2.4893878,0.0000000
