time,mosqito_sone
0.0000000,0.0000000
0.0020000,0.0000000
0.0040000,0.0000000
0.0060000,0.0000000
0.0080000,0.0000000
0.0100000,0.0000000
0.0120000,0.0000000
0.0140000,0.0000000
0.0160000,0.0000000
0.0180000,0.0000000
0.0200000,0.0000000
0.0220000,0.0000000
0.0240000,0.0000000
0.0260000,0.0000000
0.0280000,0.0000000
0.0300000,0.0000000
0.0320000,0.0000000
0.0340000,0.0000000
0.0360001,0.0000000
0.0380001,0.0000000
0.0400001,0.0000000
0.0420001,0.0000000
0.0440001,0.0000000
0.0460001,0.0000000
0.0480001,0.0000000
0.0500001,0.0000000
0.0520001,0.0000000
0.0540001,0.0000000
0.0560001,0.0000000
0.0580001,0.0000000
0.0600001,0.0000000
0.0620001,0.0000000
0.0640001,0.0000000
0.0660001,0.0000000
0.0680001,0.0000000
0.0700001,0.0000000
0.0720001,0.0000000
0.0740001,0.0000000
0.0760001,0.0000000
0.0780001,0.0000000
0.0800001,0.0000000
0.0820001,0.0000000
0.0840001,0.0000000
0.0860001,0.0000000
0.0880001,0.0000000
0.0900001,0.0000000
0.0920001,0.0000000
0.0940001,0.0000000
0.0960001,0.0000000
0.0980001,0.0000000
0.1000001,0.0000000
0.1020001,0.0000000
0.1040002,0.0000000
0.1060002,0.0000000
0.1080002,0.0000000
0.1100002,0.0000000
0.1120002,0.0000000
0.1140002,0.0000000
0.1160002,0.0000000
0.1180002,0.0000000
0.1200002,0.0000000
0.1220002,0.0000000
0.1240002,0.0000000
0.1260002,0.0000000
0.1280002,0.0000000
0.1300002,0.0000000
0.1320002,0.0000000
0.1340002,0.0000000
0.1360002,0.0000000
0.1380002,0.0000000
0.1400002,0.0000000
0.1420002,0.0000000
0.1440002,0.0000000
0.1460002,0.0000000
0.1480002,0.0000000
0.1500002,0.0000000
0.1520002,0.0000000
0.1540002,0.0000000
0.1560002,0.0000000
0.1580002,0.0000000
0.1600002,0.0000000
0.1620002,0.0000000
0.1640002,0.0000000
0.1660002,0.0000000
0.1680002,0.0000000
0.1700002,0.0000000
0.1720003,0.0000000
0.1740003,0.0000000
0.1760003,0.0000000
0.1780003,0.0000000
0.1800003,0.0000000
0.1820003,0.0000000
0.1840003,0.0000000
0.1860003,0.0000000
0.1880003,0.0000000
0.1900003,0.0000000
0.1920003,0.0000000
0.1940003,0.0000000
0.1960003,0.0000000
0.1980003,0.0000000
0.2000003,0.0000000
0.2020003,0.0000000
0.2040003,0.0000000
0.2060003,0.0000000
0.2080003,0.0000000
0.2100003,0.0000000
0.2120003,0.0000000
0.2140003,0.0000000
0.2160003,0.0000000
0.2180003,0.0000000
0.2200003,0.0000000
0.2220003,0.0000000
0.2240003,0.0000000
0.2260003,0.0000000
0.2280003,0.0000000
0.2300003,0.0000000
0.2320003,0.0000000
0.2340003,0.0000000
0.2360003,0.0000000
0.2380003,0.0000000
0.2400003,0.0000000
0.2420004,0.0000000
0.2440004,0.0000000
0.2460004,0.0000000
0.2480004,0.0000000
0.2500004,0.0000000
0.2520004,0.0000000
0.2540004,0.0000000
0.2560004,0.0000000
0.2580004,0.0000000
0.2600004,0.0000000
0.2620004,0.0000000
0.2640004,0.0000000
0.2660004,0.0000000
0.2680004,0.0000000
0.2700004,0.0000000
0.2720004,0.0000000
0.2740004,0.0000000
0.2760004,0.0000000
0.2780004,0.0000000
0.2800004,0.0000000
0.2820004,0.0000000
0.2840004,0.0000000
0.2860004,0.0000000
0.2880004,0.0000000
0.2900004,0.0000000
0.2920004,0.0000000
0.2940004,0.0000000
0.2960004,0.0000000
0.2980004,0.0000000
0.3000004,0.0000000
0.3020004,0.0000000
0.3040004,0.0000000
0.3060004,0.0000000
0.3080004,0.0000000
0.3100005,0.0000000
0.3120005,0.0000000
0.3140005,0.0000000
0.3160005,0.0000000
0.3180005,0.0000000
0.3200005,0.0000000
0.3220005,0.0000000
0.3240005,0.0000000
0.3260005,0.0000000
0.3280005,0.0000000
0.3300005,0.0000000
0.3320005,0.0000000
0.3340005,0.0000000
0.3360005,0.0000000
0.3380005,0.0000000
0.3400005,0.0000000
0.3420005,0.0000000
0.3440005,0.0000000
0.3460005,0.0000000
0.3480005,0.0000000
0.3500005,0.0000000
0.3520005,0.0000000
0.3540005,0.0000000
0.3560005,0.0000000
0.3580005,0.0000000
0.3600005,0.0000000
0.3620005,0.0000000
0.3640005,0.0000000
0.3660005,0.0000000
0.3680005,0.0000000
0.3700005,0.0000000
0.3720005,0.0000000
0.3740005,0.0000000
0.3760005,0.0000000
0.3780005,0.0000000
0.3800006,0.0000000
0.3820006,0.0000000
0.3840006,0.0000000
0.3860006,0.0000000
0.3880006,0.0000000
0.3900006,0.0000000
0.3920006,0.0000000
0.3940006,0.0000000
0.3960006,0.0000000
0.3980006,0.0000000
0.4000006,0.0000000
0.4020006,0.0000000
0.4040006,0.0000000
0.4060006,0.0000000
0.4080006,0.0000000
0.4100006,0.0000000
0.4120006,0.0000000
0.4140006,0.0000000
0.4160006,0.0000000
0.4180006,0.0000000
0.4200006,0.0000000
0.4220006,0.0000000
